Model,n=1,n=3,n=5,n=7,n=10,β=2,β=4,β=6,best,best_config
Aya Expanse 8B,0.6283802782162587,0.6983826898623171,0.7158743861264584,0.716945102166097,0.709204540471806,0.7128058405682718,0.6793223274576866,0.6502143076383409,0.716945102166097,n=7
Jais-2-8B,0.6447589176094007,0.6850451909585195,0.6881020893624484,0.6842002926861349,0.6749791721476799,0.7075333793738489,0.6892887288432866,0.6717176949048492,0.7075333793738489,β=2
Qwen3-8B,0.5805917302464266,0.6574051236516705,0.6701276528106639,0.6695343330702443,0.6598385567394542,0.6614586073840215,0.6222862130579672,0.5944222463386828,0.6701276528106639,n=5
Qwen 2.5-7B,0.6039660615627467,0.6707298791984568,0.6764989202402876,0.6729983337718144,0.6634610957642725,0.6721864586073842,0.6351075374901345,0.6133577786547402,0.6764989202402876,n=5
Qwen3-4B,0.5403109379110759,0.644544472945716,0.6612627981671491,0.6616901802157327,0.6539115254757516,0.6560869398403931,0.6026330790142944,0.5643762880382357,0.6616901802157327,n=7
Gemma 3 4B,0.4531951569762347,0.6152559907480493,0.6549811453126366,0.6639634306761378,0.6595592990879593,0.6262669363325447,0.54284042576515,0.4829095139436994,0.6639634306761378,n=7
Qwen 2.5-3B,0.5384216324651406,0.6416916052793126,0.6501423693326316,0.6550581535560817,0.6480782195474876,0.6420939116899067,0.5913715140752439,0.5571423090414803,0.6550581535560817,n=7
Falcon-H1-3B,0.5311174964921509,0.6269839899587828,0.6407302354643511,0.644206979522932,0.6455514722002977,0.6331003902481803,0.5919092015259142,0.5568734653161449,0.6455514722002977,n=10
SILMA 2B,0.5446613555643253,0.6133506533368407,0.6215555939226517,0.6207485146452686,0.6163790504691745,0.5828851234324297,0.5531558307024469,0.5458411437779533,0.6215555939226517,n=5
