Method,nDCG@10,Recall@10,Recall@100,MRR
BM25 alone,0.46209464085012736,0.5963751315443312,0.8577331623257032,0.4835516097910594
mDPR alone,0.4993462248363702,0.6155763560028064,0.8406621338682803,0.5328152632582321
Hybrid CC (α=0.5),0.6265625231948007,0.7477980027185827,0.9458173013680604,0.6576949493992448
Hybrid RRF (k=20),0.6267090662667741,0.7597471608348682,0.9466168442515125,0.6517396542616841
